feedback_id,user_id,feedback_date,channel,rating,text,platform
527,U01460,2025-01-01,in_app_feedback,1,Нет фильтра по длительности. Хочу найти тренировку на 20 минут — приходится листать всё.,web
529,U01460,2025-01-01,support_ticket,3,Интерфейс на планшете выглядит ужасно — всё растянуто. Оптимизируйте!,web
409,U01124,2025-01-02,in_app_feedback,1,Нет фильтра по длительности. Хочу найти тренировку на 20 минут — приходится листать всё.,android
410,U01124,2025-01-04,in_app_feedback,2,"Пробный период 3 дня — это шутка? Не успеваешь ничего оценить, а деньги уже списали.",android
411,U01124,2025-01-05,google_play_review,2,"Не могу даже зайти — белый экран и вылет. Телефон новый, проблема точно не в нём.",android
473,U01285,2025-01-05,support_ticket,1,Интерфейс на планшете выглядит ужасно — всё растянуто. Оптимизируйте!,web
277,U00742,2025-01-06,in_app_feedback,1,Нет возможности поставить тренировку на паузу и продолжить потом. Неудобно.,android
331,U00912,2025-01-07,app_store_review,2,"Похудела на 5 кг за 2 месяца, просто следуя программе. Очень довольна!",ios
519,U01441,2025-01-07,google_play_review,1,"Заплатил за месяц, половина функций оказалась только в Pro. Ощущение обмана.",android
520,U01441,2025-01-07,google_play_review,2,Автосписание без предупреждения — нечестно. Пришлось возвращать через банк.,android
131,U00343,2025-01-09,nps_survey,2,"Заставляют выбрать цель, но нет варианта 'просто хочу двигаться'. Не всем нужны KPI.",android
489,U01336,2025-01-10,app_store_review,1,"Приложение зависает при загрузке видео. Samsung Galaxy S23, последняя версия.",ios
528,U01460,2025-01-10,in_app_feedback,1,"Крашится при открытии раздела с медитациями. Обидно, потому что контент нравится.",web
727,U02005,2025-01-10,in_app_feedback,3,После регистрации непонятно куда идти. Где кнопка 'начать тренировку'?,android
802,U02182,2025-01-11,support_ticket,1,"Классные тренеры, но мало программ. За 3 месяца ощущение, что контент закончился.",android
323,U00899,2025-01-12,nps_survey,2,Поиск не работает нормально. Ищу 'йога для спины' — показывает HIIT.,android
332,U00912,2025-01-12,app_store_review,4,"Заплатил за месяц, половина функций оказалась только в Pro. Ощущение обмана.",ios
218,U00591,2025-01-13,google_play_review,2,"Видео не грузится, потом приложение падает. Wi-Fi отличный, с другими приложениями проблем нет.",android
847,U02311,2025-01-13,app_store_review,3,"Онбординг не пропускается. Я уже занимаюсь спортом, мне не нужны базовые советы.",ios
678,U01830,2025-01-14,in_app_feedback,1,Автосписание без предупреждения — нечестно. Пришлось возвращать через банк.,web
333,U00912,2025-01-15,support_ticket,2,Нет возможности поставить тренировку на паузу и продолжить потом. Неудобно.,ios
591,U01615,2025-01-15,support_ticket,1,"799₽/мес — это перебор. Готов платить 399₽, не больше.",ios
265,U00696,2025-01-16,app_store_review,3,"Удобный интерфейс, красивый дизайн. Приятно заниматься.",ios
267,U00696,2025-01-16,support_ticket,1,Поиск не работает нормально. Ищу 'йога для спины' — показывает HIIT.,ios
235,U00626,2025-01-17,in_app_feedback,2,"Годовая подписка по-прежнему дорого. Скидку давайте нормальную, а не 10%.",ios
538,U01490,2025-01-17,nps_survey,2,"После последнего обновления приложение стало жутко тормозить. Pixel 7, Android 14.",ios
76,U00193,2025-01-18,nps_survey,1,Календарь тренировок не синхронизируется между устройствами.,android
786,U02148,2025-01-18,google_play_review,1,"Онбординг не пропускается. Я уже занимаюсь спортом, мне не нужны базовые советы.",web
724,U01992,2025-01-19,nps_survey,2,"Медитаций всего штук 10. Конкуренты предлагают сотни. Добавьте, пожалуйста!",ios
233,U00626,2025-01-21,app_store_review,1,"Подписка слишком дорогая для того объёма контента, что есть. Снизьте цену или добавьте функций.",ios
234,U00626,2025-01-22,nps_survey,3,"Не могу даже зайти — белый экран и вылет. Телефон новый, проблема точно не в нём.",ios
701,U01904,2025-01-22,google_play_review,3,"Йога — только для начинающих. А где виньяса, аштанга? Добавьте что-нибудь серьёзное.",web
266,U00696,2025-01-24,in_app_feedback,1,Конкуренты дешевле и дают больше. Не вижу смысла переплачивать.,ios
400,U01104,2025-01-24,google_play_review,2,"Очень удобно, что можно скачать тренировку оффлайн. Занимаюсь в самолёте!",web
533,U01469,2025-01-24,support_ticket,4,Контент однообразный. Каждую неделю одни и те же тренировки по кругу.,ios
649,U01752,2025-01-24,nps_survey,2,Регистрация заняла 10 минут — слишком много вопросов. Чуть не бросил на середине.,android
1051,U02813,2025-01-24,app_store_review,2,"Не могу даже зайти — белый экран и вылет. Телефон новый, проблема точно не в нём.",ios
700,U01904,2025-01-25,support_ticket,1,Хочется больше силовых программ с прогрессией. Сейчас всё слишком базовое.,web
1029,U02758,2025-01-25,in_app_feedback,3,Баг: при переходе между упражнениями экран мигает и иногда крашится.,android
1098,U02985,2025-01-26,nps_survey,2,Первая тренировка-рекомендация была слишком сложной. Чуть не умер. Плохой подбор.,android
260,U00685,2025-01-27,in_app_feedback,5,"Рекомендую всем! Качество видео на высоте, тренеры мотивируют.",ios
964,U02577,2025-01-27,google_play_review,3,Невозможно пользоваться — каждая вторая тренировка заканчивается вылетом.,android
315,U00866,2025-01-28,app_store_review,4,"Медитаций всего штук 10. Конкуренты предлагают сотни. Добавьте, пожалуйста!",ios
316,U00866,2025-01-28,app_store_review,1,"Нет тренировок для пожилых. Маме хотела подарить подписку, но ей слишком интенсивно.",ios
598,U01627,2025-01-28,nps_survey,4,"Дмитрий — лучший тренер по HIIT. Жёстко, но результат виден через неделю.",ios
1092,U02959,2025-01-28,google_play_review,2,"Заставляют выбрать цель, но нет варианта 'просто хочу двигаться'. Не всем нужны KPI.",android
854,U02332,2025-01-29,support_ticket,1,Первая тренировка-рекомендация была слишком сложной. Чуть не умер. Плохой подбор.,android
462,U01268,2025-01-30,in_app_feedback,1,"Нельзя создать свой плейлист тренировок. Это базовая функция, добавьте!",android
955,U02550,2025-01-30,app_store_review,2,Хочу больше коротких тренировок на 10-15 минут для перерывов между работой.,ios
1099,U02985,2025-01-30,google_play_review,1,Баг: при переходе между упражнениями экран мигает и иногда крашится.,android
317,U00866,2025-01-31,in_app_feedback,2,Нет возможности поставить тренировку на паузу и продолжить потом. Неудобно.,ios
829,U02247,2025-01-31,support_ticket,5,Подарил жене подписку — она в восторге. Занимается каждый день.,web
896,U02415,2025-01-31,nps_survey,5,Где тренировки с гирями? Только гантели и собственный вес — маловато.,web
402,U01109,2025-02-02,app_store_review,5,Интеграция с Apple Watch — огонь. Всё автоматически синхронизируется.,ios
897,U02415,2025-02-02,google_play_review,4,Уведомления приходят в 3 часа ночи. Настройки времени не работают.,web
1097,U02985,2025-02-02,nps_survey,2,"Заставляют выбрать цель, но нет варианта 'просто хочу двигаться'. Не всем нужны KPI.",android
1104,U02995,2025-02-02,nps_survey,3,"Крашится при открытии раздела с медитациями. Обидно, потому что контент нравится.",android
445,U01223,2025-02-03,nps_survey,1,"Наконец-то нашла удобное приложение для дома. Тренеры классные, объясняют понятно.",android
956,U02550,2025-02-03,support_ticket,1,Автосписание без предупреждения — нечестно. Пришлось возвращать через банк.,ios
491,U01342,2025-02-04,in_app_feedback,3,Приложение вылетает каждый раз при попытке начать тренировку. Уже переустанавливал — не помогает.,ios
359,U00995,2025-02-05,in_app_feedback,4,"Удобный интерфейс, красивый дизайн. Приятно заниматься.",android
1078,U02883,2025-02-05,app_store_review,4,Поиск не работает нормально. Ищу 'йога для спины' — показывает HIIT.,ios
