feedback_id,user_id,feedback_date,channel,rating,text,platform,category
527,U01460,2025-01-01,in_app_feedback,1,Нет фильтра по длительности. Хочу найти тренировку на 20 минут — приходится листать всё.,web,ux_issues
529,U01460,2025-01-01,support_ticket,3,Интерфейс на планшете выглядит ужасно — всё растянуто. Оптимизируйте!,web,ux_issues
409,U01124,2025-01-02,in_app_feedback,1,Нет фильтра по длительности. Хочу найти тренировку на 20 минут — приходится листать всё.,android,ux_issues
410,U01124,2025-01-04,in_app_feedback,2,"Пробный период 3 дня — это шутка? Не успеваешь ничего оценить, а деньги уже списали.",android,pricing
411,U01124,2025-01-05,google_play_review,2,"Не могу даже зайти — белый экран и вылет. Телефон новый, проблема точно не в нём.",android,app_crashes
473,U01285,2025-01-05,support_ticket,1,Интерфейс на планшете выглядит ужасно — всё растянуто. Оптимизируйте!,web,ux_issues
277,U00742,2025-01-06,in_app_feedback,1,Нет возможности поставить тренировку на паузу и продолжить потом. Неудобно.,android,ux_issues
331,U00912,2025-01-07,app_store_review,2,"Похудела на 5 кг за 2 месяца, просто следуя программе. Очень довольна!",ios,positive_general
519,U01441,2025-01-07,google_play_review,1,"Заплатил за месяц, половина функций оказалась только в Pro. Ощущение обмана.",android,pricing
520,U01441,2025-01-07,google_play_review,2,Автосписание без предупреждения — нечестно. Пришлось возвращать через банк.,android,pricing
131,U00343,2025-01-09,nps_survey,2,"Заставляют выбрать цель, но нет варианта 'просто хочу двигаться'. Не всем нужны KPI.",android,onboarding_issues
489,U01336,2025-01-10,app_store_review,1,"Приложение зависает при загрузке видео. Samsung Galaxy S23, последняя версия.",ios,app_crashes
528,U01460,2025-01-10,in_app_feedback,1,"Крашится при открытии раздела с медитациями. Обидно, потому что контент нравится.",web,app_crashes
727,U02005,2025-01-10,in_app_feedback,3,После регистрации непонятно куда идти. Где кнопка 'начать тренировку'?,android,onboarding_issues
802,U02182,2025-01-11,support_ticket,1,"Классные тренеры, но мало программ. За 3 месяца ощущение, что контент закончился.",android,content_variety
323,U00899,2025-01-12,nps_survey,2,Поиск не работает нормально. Ищу 'йога для спины' — показывает HIIT.,android,ux_issues
332,U00912,2025-01-12,app_store_review,4,"Заплатил за месяц, половина функций оказалась только в Pro. Ощущение обмана.",ios,pricing
218,U00591,2025-01-13,google_play_review,2,"Видео не грузится, потом приложение падает. Wi-Fi отличный, с другими приложениями проблем нет.",android,app_crashes
847,U02311,2025-01-13,app_store_review,3,"Онбординг не пропускается. Я уже занимаюсь спортом, мне не нужны базовые советы.",ios,onboarding_issues
678,U01830,2025-01-14,in_app_feedback,1,Автосписание без предупреждения — нечестно. Пришлось возвращать через банк.,web,pricing
333,U00912,2025-01-15,support_ticket,2,Нет возможности поставить тренировку на паузу и продолжить потом. Неудобно.,ios,ux_issues
591,U01615,2025-01-15,support_ticket,1,"799₽/мес — это перебор. Готов платить 399₽, не больше.",ios,pricing
265,U00696,2025-01-16,app_store_review,3,"Удобный интерфейс, красивый дизайн. Приятно заниматься.",ios,positive_general
267,U00696,2025-01-16,support_ticket,1,Поиск не работает нормально. Ищу 'йога для спины' — показывает HIIT.,ios,ux_issues
235,U00626,2025-01-17,in_app_feedback,2,"Годовая подписка по-прежнему дорого. Скидку давайте нормальную, а не 10%.",ios,pricing
538,U01490,2025-01-17,nps_survey,2,"После последнего обновления приложение стало жутко тормозить. Pixel 7, Android 14.",ios,app_crashes
76,U00193,2025-01-18,nps_survey,1,Календарь тренировок не синхронизируется между устройствами.,android,ux_issues
786,U02148,2025-01-18,google_play_review,1,"Онбординг не пропускается. Я уже занимаюсь спортом, мне не нужны базовые советы.",web,onboarding_issues
724,U01992,2025-01-19,nps_survey,2,"Медитаций всего штук 10. Конкуренты предлагают сотни. Добавьте, пожалуйста!",ios,content_variety
233,U00626,2025-01-21,app_store_review,1,"Подписка слишком дорогая для того объёма контента, что есть. Снизьте цену или добавьте функций.",ios,pricing
234,U00626,2025-01-22,nps_survey,3,"Не могу даже зайти — белый экран и вылет. Телефон новый, проблема точно не в нём.",ios,app_crashes
701,U01904,2025-01-22,google_play_review,3,"Йога — только для начинающих. А где виньяса, аштанга? Добавьте что-нибудь серьёзное.",web,content_variety
266,U00696,2025-01-24,in_app_feedback,1,Конкуренты дешевле и дают больше. Не вижу смысла переплачивать.,ios,pricing
400,U01104,2025-01-24,google_play_review,2,"Очень удобно, что можно скачать тренировку оффлайн. Занимаюсь в самолёте!",web,positive_general
